Mês/Ano,Razão Social,CNPJ,Região,Estado,Município,Capacidade Autorizada (m³/d),Capacidade Processamento(m³/d),Volume Processado  (m³/d),FUE (%)
02/2021,GNR DOIS ARCOS VALORIZAÇÃO DE BIOGÁS LTDA.,17173460000203,SUDESTE,Rio de Janeiro,SAO PEDRO DA ALDEIA,16000,30672,"10993,000",69
02/2021,GNR FORTALEZA VALORIZAÇÃO DE BIOGÁS LTDA.,20287659000188,NORDESTE,Ceará,CAUCAIA,110000,300000,"117918,000",107
01/2021,GÁS VERDE S.A.,11131464000587,SUDESTE,Rio de Janeiro,SEROPEDICA,204000,480000,"203886,000",100
01/2021,GNR DOIS ARCOS VALORIZAÇÃO DE BIOGÁS LTDA.,17173460000203,SUDESTE,Rio de Janeiro,SAO PEDRO DA ALDEIA,16000,30672,"13078,000",82
01/2021,GNR FORTALEZA VALORIZAÇÃO DE BIOGÁS LTDA.,20287659000188,NORDESTE,Ceará,CAUCAIA,110000,300000,"125489,000",114
12/2020,GÁS VERDE S.A.,11131464000587,SUDESTE,Rio de Janeiro,SEROPEDICA,204000,480000,"306247,000",150
12/2020,GNR DOIS ARCOS VALORIZAÇÃO DE BIOGÁS LTDA.,17173460000203,SUDESTE,Rio de Janeiro,SAO PEDRO DA ALDEIA,16000,30672,"13909,000",87
12/2020,GNR FORTALEZA VALORIZAÇÃO DE BIOGÁS LTDA.,20287659000188,NORDESTE,Ceará,CAUCAIA,110000,300000,"130913,000",119
11/2020,GÁS VERDE S.A.,11131464000587,SUDESTE,Rio de Janeiro,SEROPEDICA,204000,480000,"316415,000",155
11/2020,GNR DOIS ARCOS VALORIZAÇÃO DE BIOGÁS LTDA.,17173460000203,SUDESTE,Rio de Janeiro,SAO PEDRO DA ALDEIA,16000,30672,"7481,000",47
11/2020,GNR FORTALEZA VALORIZAÇÃO DE BIOGÁS LTDA.,20287659000188,NORDESTE,Ceará,CAUCAIA,110000,300000,"131997,000",120
10/2020,GÁS VERDE S.A.,11131464000587,SUDESTE,Rio de Janeiro,SEROPEDICA,204000,480000,"438349,000",215
10/2020,GNR DOIS ARCOS VALORIZAÇÃO DE BIOGÁS LTDA.,17173460000203,SUDESTE,Rio de Janeiro,SAO PEDRO DA ALDEIA,16000,30672,"6157,000",38
