Mês/Ano,Região,Estado,Produção Etanol Hidratado(m³/d),Produção Etanol Anidro (m³/d)
11/2019,CENTRO OESTE,Mato Grosso,146283,49609
11/2019,CENTRO OESTE,Mato Grosso do Sul,93207,38863
11/2019,NORDESTE,Alagoas,52607,42066
11/2019,NORDESTE,Bahia,2959,8114
11/2019,NORDESTE,Maranhão,2060,15577
11/2019,NORDESTE,Paraíba,27749,37624
11/2019,NORDESTE,Pernambuco,52678,29982
11/2019,NORDESTE,Piauí,2881,4386
11/2019,NORDESTE,Rio Grande do Norte,17690,6340
11/2019,NORDESTE,Sergipe,19497,5516
11/2019,NORTE,Amazonas,2767,
11/2019,NORTE,Pará,2488,7147
11/2019,NORTE,Rondônia,474,
11/2019,NORTE,Tocantins,7385,10176
11/2019,SUDESTE,Espírito Santo,351,5864
11/2019,SUDESTE,Minas Gerais,180370,48652
11/2019,SUDESTE,São Paulo,661083,395386
11/2019,SUL,Paraná,61981,20603
11/2019,SUL,Rio Grande do Sul,58,
10/2019,CENTRO OESTE,Goiás,580606,131660
10/2019,CENTRO OESTE,Mato Grosso,194107,79346
10/2019,CENTRO OESTE,Mato Grosso do Sul,266492,82066
10/2019,NORDESTE,Alagoas,54259,36102
10/2019,NORDESTE,Bahia,21337,14743
10/2019,NORDESTE,Maranhão,2631,20126
10/2019,NORDESTE,Paraíba,31483,34002
10/2019,NORDESTE,Pernambuco,54111,21319
10/2019,NORDESTE,Piauí,3765,5763
10/2019,NORDESTE,Rio Grande do Norte,24955,3355
10/2019,NORDESTE,Sergipe,17930,3170
10/2019,NORTE,Amazonas,1935,
10/2019,NORTE,Pará,4468,5216
10/2019,NORTE,Rondônia,586,
10/2019,NORTE,Tocantins,8498,14748
10/2019,SUDESTE,Espírito Santo,1703,9649
10/2019,SUDESTE,Minas Gerais,352329,103365
10/2019,SUDESTE,Rio de Janeiro,5301,
10/2019,SUDESTE,São Paulo,1582724,769479
10/2019,SUL,Paraná,139675,78232
10/2019,SUL,Rio Grande do Sul,243,
09/2019,CENTRO OESTE,Goiás,692578,93061
09/2019,CENTRO OESTE,Mato Grosso,226661,71598
09/2019,CENTRO OESTE,Mato Grosso do Sul,362064,88440
09/2019,NORDESTE,Alagoas,34118,10895
09/2019,NORDESTE,Bahia,25192,15114
09/2019,NORDESTE,Maranhão,4113,23040
09/2019,NORDESTE,Paraíba,34160,22452
09/2019,NORDESTE,Pernambuco,28134,7271
09/2019,NORDESTE,Piauí,7096,1797
09/2019,NORDESTE,Rio Grande do Norte,15875,832
09/2019,NORDESTE,Sergipe,3493,
09/2019,NORTE,Amazonas,1337,
09/2019,NORTE,Pará,1683,6477
09/2019,NORTE,Rondônia,614,
09/2019,NORTE,Tocantins,14957,10692
09/2019,SUDESTE,Espírito Santo,1039,13764
09/2019,SUDESTE,Minas Gerais,398146,140590
09/2019,SUDESTE,Rio de Janeiro,14323,
09/2019,SUDESTE,São Paulo,1556298,751201
09/2019,SUL,Paraná,146686,80512
09/2019,SUL,Rio Grande do Sul,548,
08/2019,CENTRO OESTE,Goiás,712479,118579
08/2019,CENTRO OESTE,Mato Grosso,207198,68378
08/2019,CENTRO OESTE,Mato Grosso do Sul,428578,99461
08/2019,NORDESTE,Alagoas,6934,201
08/2019,NORDESTE,Bahia,27233,14087
08/2019,NORDESTE,Maranhão,8738,27570
08/2019,NORDESTE,Paraíba,25657,17711
08/2019,NORDESTE,Pernambuco,2507,277
08/2019,NORDESTE,Piauí,7680,807
08/2019,NORDESTE,Rio Grande do Norte,4132,
08/2019,NORTE,Amazonas,1233,
08/2019,NORTE,Pará,1517,7553
08/2019,NORTE,Rondônia,793,
08/2019,NORTE,Tocantins,8316,19552
08/2019,SUDESTE,Espírito Santo,557,14448
08/2019,SUDESTE,Minas Gerais,391926,176701
08/2019,SUDESTE,Rio de Janeiro,22727,
08/2019,SUDESTE,São Paulo,1758127,904786
08/2019,SUL,Paraná,196590,98452
08/2019,SUL,Rio Grande do Sul,675,
07/2019,CENTRO OESTE,Goiás,699475,108721
07/2019,CENTRO OESTE,Mato Grosso,164498,103947
07/2019,CENTRO OESTE,Mato Grosso do Sul,393556,84723
07/2019,NORDESTE,Bahia,28819,13118
07/2019,NORDESTE,Maranhão,3818,23811
07/2019,NORDESTE,Paraíba,6031,2498
07/2019,NORDESTE,Piauí,3639,3364
07/2019,NORTE,Amazonas,551,
07/2019,NORTE,Pará,2536,6852
07/2019,NORTE,Rondônia,810,
07/2019,NORTE,Tocantins,15149,6455
07/2019,SUDESTE,Espírito Santo,2339,19038
07/2019,SUDESTE,Minas Gerais,384120,190212
07/2019,SUDESTE,Rio de Janeiro,25630,
07/2019,SUDESTE,São Paulo,1571070,888342
07/2019,SUL,Paraná,129212,101832
07/2019,SUL,Rio Grande do Sul,116,
06/2019,CENTRO OESTE,Goiás,639011,112927
06/2019,CENTRO OESTE,Mato Grosso,132040,116405
06/2019,CENTRO OESTE,Mato Grosso do Sul,353666,87284
06/2019,NORDESTE,Bahia,19378,13371
06/2019,NORDESTE,Maranhão,3486,16960
06/2019,NORDESTE,Piauí,1471,
06/2019,NORTE,Pará,1804,4356
06/2019,NORTE,Rondônia,542,
06/2019,NORTE,Tocantins,13481,7927
06/2019,SUDESTE,Espírito Santo,2243,17918
06/2019,SUDESTE,Minas Gerais,314095,180216
06/2019,SUDESTE,Rio de Janeiro,15773,
06/2019,SUDESTE,São Paulo,1459884,870679
06/2019,SUL,Paraná,125294,76337
05/2019,CENTRO OESTE,Goiás,521159,89978
05/2019,CENTRO OESTE,Mato Grosso,138129,73640
05/2019,CENTRO OESTE,Mato Grosso do Sul,311858,93022
05/2019,NORDESTE,Bahia,30065,4736
05/2019,NORDESTE,Maranhão,8,8216
05/2019,NORTE,Pará,44,
05/2019,NORTE,Rondônia,391,
05/2019,NORTE,Tocantins,5842,11986
05/2019,SUDESTE,Espírito Santo,3765,9284
05/2019,SUDESTE,Minas Gerais,304513,120211
05/2019,SUDESTE,Rio de Janeiro,6647,
05/2019,SUDESTE,São Paulo,1354345,770211
05/2019,SUL,Paraná,126462,66363
04/2019,CENTRO OESTE,Goiás,281750,26710
04/2019,CENTRO OESTE,Mato Grosso,111717,24940
04/2019,CENTRO OESTE,Mato Grosso do Sul,275730,45192
04/2019,NORDESTE,Alagoas,7001,3276
04/2019,NORDESTE,Bahia,10734,96
04/2019,NORDESTE,Paraíba,570,
04/2019,NORTE,Rondônia,233,
04/2019,NORTE,Tocantins,9185,
04/2019,SUDESTE,Espírito Santo,600,660
04/2019,SUDESTE,Minas Gerais,199062,40820
04/2019,SUDESTE,Rio de Janeiro,1219,
04/2019,SUDESTE,São Paulo,830469,249544
04/2019,SUL,Paraná,131958,31700
03/2019,CENTRO OESTE,Goiás,80396,4260
03/2019,CENTRO OESTE,Mato Grosso,74679,17429
03/2019,CENTRO OESTE,Mato Grosso do Sul,104445,15696
03/2019,NORDESTE,Alagoas,21997,13012
03/2019,NORDESTE,Paraíba,278,9010
03/2019,NORDESTE,Pernambuco,5557,
03/2019,NORTE,Rondônia,112,
03/2019,SUDESTE,Minas Gerais,20947,2756
03/2019,SUDESTE,São Paulo,145286,29624
03/2019,SUL,Paraná,23733,12665
02/2019,CENTRO OESTE,Goiás,22957,5848
02/2019,CENTRO OESTE,Mato Grosso,44295,11578
02/2019,CENTRO OESTE,Mato Grosso do Sul,30129,5230
02/2019,NORDESTE,Alagoas,31886,21688
02/2019,NORDESTE,Paraíba,1378,8339
02/2019,NORDESTE,Pernambuco,15626,6720
02/2019,NORDESTE,Rio Grande do Norte,1011,280
02/2019,NORDESTE,Sergipe,2802,2322
02/2019,SUDESTE,Espírito Santo,219,786
02/2019,SUDESTE,São Paulo,5522,2507
02/2019,SUL,Paraná,2856,2030
01/2019,CENTRO OESTE,Goiás,21947,6728
01/2019,CENTRO OESTE,Mato Grosso,37365,33146
01/2019,CENTRO OESTE,Mato Grosso do Sul,17808,23148
01/2019,NORDESTE,Alagoas,42104,31461
01/2019,NORDESTE,Paraíba,15903,13118
01/2019,NORDESTE,Pernambuco,41719,10357
01/2019,NORDESTE,Rio Grande do Norte,11526,1588
01/2019,NORDESTE,Sergipe,17139,3443
01/2019,NORTE,Pará,1402,1237
01/2019,SUDESTE,Espírito Santo,1131,7962
01/2019,SUDESTE,Minas Gerais,546,
01/2019,SUDESTE,São Paulo,10383,2691
01/2019,SUL,Paraná,3655,
