Mês/Ano,Região,Estado,Produto,Quantidade (m³)
05/2024,CENTRO OESTE,Goiás,ÁCIDO GRAXO DE ÓLEO DE SOJA,"294,856"
05/2024,CENTRO OESTE,Mato Grosso,ÁCIDO GRAXO DE ÓLEO DE SOJA,"1229,945"
05/2024,SUDESTE,São Paulo,ÁCIDO GRAXO DE ÓLEO DE SOJA,"113,636"
05/2024,CENTRO OESTE,Goiás,GORDURA BOVINA,"10025,841"
05/2024,CENTRO OESTE,Mato Grosso,GORDURA BOVINA,"762,368"
05/2024,NORDESTE,Bahia,GORDURA BOVINA,"6772,386"
05/2024,NORTE,Pará,GORDURA BOVINA,"7537,674"
05/2024,NORTE,Rondônia,GORDURA BOVINA,"6630,297"
05/2024,SUDESTE,Minas Gerais,GORDURA BOVINA,"403,688"
05/2024,SUL,Paraná,GORDURA BOVINA,"3186,075"
05/2024,SUL,Rio Grande do Sul,GORDURA BOVINA,"9422,203"
05/2024,SUL,Paraná,GORDURA DE FRANGO,"758,012"
05/2024,SUL,Rio Grande do Sul,GORDURA DE FRANGO,"206,638"
05/2024,CENTRO OESTE,Goiás,GORDURA DE PORCO,"6089,650"
05/2024,SUDESTE,Rio de Janeiro,GORDURA DE PORCO,"7852,756"
05/2024,SUL,Paraná,GORDURA DE PORCO,"477,781"
05/2024,SUL,Rio Grande do Sul,GORDURA DE PORCO,"2928,044"
05/2024,CENTRO OESTE,Goiás,ÓLEO DE ALGODÃO (GOSSYPIUM HIRSUT),"1387,980"
05/2024,CENTRO OESTE,Mato Grosso,ÓLEO DE ALGODÃO (GOSSYPIUM HIRSUT),"3683,181"
05/2024,NORDESTE,Bahia,ÓLEO DE ALGODÃO (GOSSYPIUM HIRSUT),"2328,735"
05/2024,SUL,Rio Grande do Sul,ÓLEO DE COLZA/CANOLA (BRESSICA CAMPESTRIS),"404,615"
05/2024,NORDESTE,Bahia,ÓLEO DE FRITURA USADO,"1788,539"
05/2024,NORTE,Pará,ÓLEO DE FRITURA USADO,"275,900"
05/2024,NORTE,Tocantins,ÓLEO DE FRITURA USADO,"148,261"
05/2024,SUDESTE,Rio de Janeiro,ÓLEO DE FRITURA USADO,"4395,826"
05/2024,SUDESTE,São Paulo,ÓLEO DE FRITURA USADO,"53,177"
05/2024,SUL,Paraná,ÓLEO DE FRITURA USADO,"452,146"
05/2024,SUL,Rio Grande do Sul,ÓLEO DE FRITURA USADO,"919,767"
05/2024,CENTRO OESTE,Goiás,ÓLEO DE MILHO,"827,174"
05/2024,SUDESTE,São Paulo,ÓLEO DE MILHO,"141,800"
05/2024,SUL,Paraná,ÓLEO DE MILHO,"1098,433"
05/2024,NORDESTE,Bahia,ÓLEO DE PALMA/DENDÊ (ELAEIS GUINEENSIS OU ELAEIS O,"203,308"
05/2024,NORTE,Pará,ÓLEO DE PALMA/DENDÊ (ELAEIS GUINEENSIS OU ELAEIS O,"1322,583"
05/2024,CENTRO OESTE,Goiás,ÓLEO DE SOJA (GLYCINE MAX),"74526,290"
05/2024,CENTRO OESTE,Mato Grosso,ÓLEO DE SOJA (GLYCINE MAX),"148916,674"
05/2024,CENTRO OESTE,Mato Grosso do Sul,ÓLEO DE SOJA (GLYCINE MAX),"24004,837"
05/2024,NORDESTE,Bahia,ÓLEO DE SOJA (GLYCINE MAX),"43485,697"
05/2024,NORDESTE,Piauí,ÓLEO DE SOJA (GLYCINE MAX),"6493,235"
05/2024,NORTE,Pará,ÓLEO DE SOJA (GLYCINE MAX),"5964,486"
05/2024,NORTE,Rondônia,ÓLEO DE SOJA (GLYCINE MAX),"332,831"
05/2024,NORTE,Tocantins,ÓLEO DE SOJA (GLYCINE MAX),"14741,415"
05/2024,SUDESTE,Rio de Janeiro,ÓLEO DE SOJA (GLYCINE MAX),"41,008"
05/2024,SUDESTE,São Paulo,ÓLEO DE SOJA (GLYCINE MAX),"8376,239"
05/2024,SUL,Paraná,ÓLEO DE SOJA (GLYCINE MAX),"75110,723"
05/2024,SUL,Rio Grande do Sul,ÓLEO DE SOJA (GLYCINE MAX),"122200,335"
05/2024,SUL,Santa Catarina,ÓLEO DE SOJA (GLYCINE MAX),"18677,394"
05/2024,CENTRO OESTE,Goiás,OUTROS MATERIAIS GRAXOS,"16708,114"
05/2024,CENTRO OESTE,Mato Grosso,OUTROS MATERIAIS GRAXOS,"8231,363"
05/2024,NORDESTE,Bahia,OUTROS MATERIAIS GRAXOS,"5363,576"
05/2024,NORTE,Pará,OUTROS MATERIAIS GRAXOS,"332,819"
05/2024,NORTE,Tocantins,OUTROS MATERIAIS GRAXOS,"1382,770"
05/2024,SUDESTE,Minas Gerais,OUTROS MATERIAIS GRAXOS,"5463,239"
05/2024,SUDESTE,Rio de Janeiro,OUTROS MATERIAIS GRAXOS,"1268,472"
05/2024,SUDESTE,São Paulo,OUTROS MATERIAIS GRAXOS,"15214,046"
05/2024,SUL,Paraná,OUTROS MATERIAIS GRAXOS,"22076,079"
05/2024,SUL,Rio Grande do Sul,OUTROS MATERIAIS GRAXOS,"9187,385"
05/2024,SUL,Santa Catarina,OUTROS MATERIAIS GRAXOS,"14282,884"
04/2024,CENTRO OESTE,Goiás,ÁCIDO GRAXO DE ÓLEO DE SOJA,"397,116"
04/2024,CENTRO OESTE,Mato Grosso,ÁCIDO GRAXO DE ÓLEO DE SOJA,"875,525"
04/2024,SUDESTE,São Paulo,ÁCIDO GRAXO DE ÓLEO DE SOJA,"66,898"
04/2024,CENTRO OESTE,Goiás,GORDURA BOVINA,"8568,340"
04/2024,CENTRO OESTE,Mato Grosso,GORDURA BOVINA,"43,331"
04/2024,NORDESTE,Bahia,GORDURA BOVINA,"7960,716"
04/2024,NORTE,Pará,GORDURA BOVINA,"5953,209"
04/2024,NORTE,Rondônia,GORDURA BOVINA,"5672,964"
04/2024,SUL,Paraná,GORDURA BOVINA,"1665,913"
04/2024,SUL,Rio Grande do Sul,GORDURA BOVINA,"9665,308"
04/2024,SUL,Paraná,GORDURA DE FRANGO,"3258,741"
04/2024,SUL,Rio Grande do Sul,GORDURA DE FRANGO,"267,993"
04/2024,CENTRO OESTE,Goiás,GORDURA DE PORCO,"4280,603"
04/2024,SUDESTE,Rio de Janeiro,GORDURA DE PORCO,"4316,760"
04/2024,SUL,Paraná,GORDURA DE PORCO,"342,605"
04/2024,SUL,Rio Grande do Sul,GORDURA DE PORCO,"2669,403"
04/2024,CENTRO OESTE,Goiás,ÓLEO DE ALGODÃO (GOSSYPIUM HIRSUT),"2910,019"
04/2024,CENTRO OESTE,Mato Grosso,ÓLEO DE ALGODÃO (GOSSYPIUM HIRSUT),"2843,759"
04/2024,NORDESTE,Bahia,ÓLEO DE ALGODÃO (GOSSYPIUM HIRSUT),"117,496"
04/2024,SUL,Rio Grande do Sul,ÓLEO DE COLZA/CANOLA (BRESSICA CAMPESTRIS),"1660,103"
04/2024,CENTRO OESTE,Goiás,ÓLEO DE FRITURA USADO,"162,915"
04/2024,NORDESTE,Bahia,ÓLEO DE FRITURA USADO,"1162,817"
04/2024,NORTE,Pará,ÓLEO DE FRITURA USADO,"232,466"
04/2024,SUDESTE,Rio de Janeiro,ÓLEO DE FRITURA USADO,"5353,378"
04/2024,SUDESTE,São Paulo,ÓLEO DE FRITURA USADO,"45,610"
04/2024,SUL,Paraná,ÓLEO DE FRITURA USADO,"417,210"
04/2024,SUL,Rio Grande do Sul,ÓLEO DE FRITURA USADO,"841,711"
04/2024,CENTRO OESTE,Goiás,ÓLEO DE MILHO,"829,768"
04/2024,SUL,Paraná,ÓLEO DE MILHO,"995,267"
04/2024,SUL,Rio Grande do Sul,ÓLEO DE MILHO,"569,491"
04/2024,NORTE,Pará,ÓLEO DE PALMA/DENDÊ (ELAEIS GUINEENSIS OU ELAEIS O,"6127,795"
04/2024,CENTRO OESTE,Goiás,ÓLEO DE SOJA (GLYCINE MAX),"72262,178"
04/2024,CENTRO OESTE,Mato Grosso,ÓLEO DE SOJA (GLYCINE MAX),"132433,447"
04/2024,CENTRO OESTE,Mato Grosso do Sul,ÓLEO DE SOJA (GLYCINE MAX),"33583,436"
04/2024,NORDESTE,Bahia,ÓLEO DE SOJA (GLYCINE MAX),"38374,951"
04/2024,NORDESTE,Piauí,ÓLEO DE SOJA (GLYCINE MAX),"5858,615"
04/2024,NORTE,Pará,ÓLEO DE SOJA (GLYCINE MAX),"2358,792"
04/2024,NORTE,Rondônia,ÓLEO DE SOJA (GLYCINE MAX),"858,024"
04/2024,NORTE,Tocantins,ÓLEO DE SOJA (GLYCINE MAX),"14148,442"
04/2024,SUDESTE,São Paulo,ÓLEO DE SOJA (GLYCINE MAX),"9070,910"
04/2024,SUL,Paraná,ÓLEO DE SOJA (GLYCINE MAX),"87254,327"
04/2024,SUL,Rio Grande do Sul,ÓLEO DE SOJA (GLYCINE MAX),"165611,623"
04/2024,SUL,Santa Catarina,ÓLEO DE SOJA (GLYCINE MAX),"21631,179"
04/2024,CENTRO OESTE,Goiás,OUTROS MATERIAIS GRAXOS,"14945,625"
04/2024,CENTRO OESTE,Mato Grosso,OUTROS MATERIAIS GRAXOS,"11574,446"
04/2024,NORDESTE,Bahia,OUTROS MATERIAIS GRAXOS,"2508,745"
04/2024,NORTE,Pará,OUTROS MATERIAIS GRAXOS,"248,247"
04/2024,NORTE,Tocantins,OUTROS MATERIAIS GRAXOS,"276,854"
04/2024,SUDESTE,Minas Gerais,OUTROS MATERIAIS GRAXOS,"4051,268"
04/2024,SUDESTE,Rio de Janeiro,OUTROS MATERIAIS GRAXOS,"2437,400"
04/2024,SUDESTE,São Paulo,OUTROS MATERIAIS GRAXOS,"15010,524"
04/2024,SUL,Paraná,OUTROS MATERIAIS GRAXOS,"11919,352"
04/2024,SUL,Rio Grande do Sul,OUTROS MATERIAIS GRAXOS,"7992,875"
04/2024,SUL,Santa Catarina,OUTROS MATERIAIS GRAXOS,"19224,353"
03/2024,CENTRO OESTE,Goiás,ÁCIDO GRAXO DE ÓLEO DE SOJA,"432,431"
03/2024,CENTRO OESTE,Mato Grosso,ÁCIDO GRAXO DE ÓLEO DE SOJA,"1005,290"
03/2024,SUDESTE,São Paulo,ÁCIDO GRAXO DE ÓLEO DE SOJA,"45,523"
03/2024,CENTRO OESTE,Goiás,GORDURA BOVINA,"10601,844"
03/2024,CENTRO OESTE,Mato Grosso,GORDURA BOVINA,"878,636"
03/2024,NORDESTE,Bahia,GORDURA BOVINA,"9693,882"
03/2024,NORTE,Pará,GORDURA BOVINA,"3936,692"
03/2024,NORTE,Rondônia,GORDURA BOVINA,"5166,152"
03/2024,SUDESTE,Minas Gerais,GORDURA BOVINA,"613,898"
03/2024,SUL,Paraná,GORDURA BOVINA,"2318,829"
03/2024,SUL,Rio Grande do Sul,GORDURA BOVINA,"9096,852"
03/2024,NORDESTE,Bahia,GORDURA DE FRANGO,"34,872"
03/2024,SUL,Paraná,GORDURA DE FRANGO,"3233,107"
03/2024,SUL,Rio Grande do Sul,GORDURA DE FRANGO,"187,930"
03/2024,CENTRO OESTE,Goiás,GORDURA DE PORCO,"1629,144"
03/2024,SUDESTE,Rio de Janeiro,GORDURA DE PORCO,"5441,006"
03/2024,SUL,Paraná,GORDURA DE PORCO,"372,329"
03/2024,SUL,Rio Grande do Sul,GORDURA DE PORCO,"2313,651"
03/2024,CENTRO OESTE,Goiás,ÓLEO DE ALGODÃO (GOSSYPIUM HIRSUT),"1660,724"
03/2024,CENTRO OESTE,Mato Grosso,ÓLEO DE ALGODÃO (GOSSYPIUM HIRSUT),"2607,829"
03/2024,NORDESTE,Bahia,ÓLEO DE ALGODÃO (GOSSYPIUM HIRSUT),"3116,282"
03/2024,SUL,Rio Grande do Sul,ÓLEO DE COLZA/CANOLA (BRESSICA CAMPESTRIS),"4211,518"
03/2024,CENTRO OESTE,Goiás,ÓLEO DE FRITURA USADO,"31,158"
03/2024,NORDESTE,Bahia,ÓLEO DE FRITURA USADO,"2056,805"
03/2024,NORTE,Pará,ÓLEO DE FRITURA USADO,"106,478"
03/2024,NORTE,Rondônia,ÓLEO DE FRITURA USADO,"10,911"
03/2024,SUDESTE,Rio de Janeiro,ÓLEO DE FRITURA USADO,"6332,423"
03/2024,SUL,Paraná,ÓLEO DE FRITURA USADO,"351,642"
03/2024,SUL,Rio Grande do Sul,ÓLEO DE FRITURA USADO,"1004,092"
03/2024,SUL,Santa Catarina,ÓLEO DE FRITURA USADO,"0,802"
03/2024,CENTRO OESTE,Goiás,ÓLEO DE MILHO,"1008,662"
03/2024,SUL,Paraná,ÓLEO DE MILHO,"1039,160"
03/2024,SUL,Rio Grande do Sul,ÓLEO DE MILHO,"842,617"
03/2024,NORDESTE,Bahia,ÓLEO DE PALMA/DENDÊ (ELAEIS GUINEENSIS OU ELAEIS O,"776,514"
03/2024,NORTE,Pará,ÓLEO DE PALMA/DENDÊ (ELAEIS GUINEENSIS OU ELAEIS O,"8735,339"
03/2024,NORTE,Rondônia,ÓLEO DE PALMA/DENDÊ (ELAEIS GUINEENSIS OU ELAEIS O,"548,969"
03/2024,CENTRO OESTE,Goiás,ÓLEO DE SOJA (GLYCINE MAX),"80241,722"
03/2024,CENTRO OESTE,Mato Grosso,ÓLEO DE SOJA (GLYCINE MAX),"131827,256"
03/2024,CENTRO OESTE,Mato Grosso do Sul,ÓLEO DE SOJA (GLYCINE MAX),"31778,588"
03/2024,NORDESTE,Bahia,ÓLEO DE SOJA (GLYCINE MAX),"36798,468"
03/2024,NORDESTE,Piauí,ÓLEO DE SOJA (GLYCINE MAX),"5853,090"
03/2024,NORTE,Pará,ÓLEO DE SOJA (GLYCINE MAX),"4377,936"
03/2024,NORTE,Rondônia,ÓLEO DE SOJA (GLYCINE MAX),"1496,743"
03/2024,NORTE,Tocantins,ÓLEO DE SOJA (GLYCINE MAX),"10392,671"
03/2024,SUDESTE,Rio de Janeiro,ÓLEO DE SOJA (GLYCINE MAX),"321,723"
03/2024,SUDESTE,São Paulo,ÓLEO DE SOJA (GLYCINE MAX),"5803,017"
03/2024,SUL,Paraná,ÓLEO DE SOJA (GLYCINE MAX),"87464,282"
03/2024,SUL,Rio Grande do Sul,ÓLEO DE SOJA (GLYCINE MAX),"130793,181"
03/2024,SUL,Santa Catarina,ÓLEO DE SOJA (GLYCINE MAX),"18887,799"
03/2024,CENTRO OESTE,Goiás,OUTROS MATERIAIS GRAXOS,"17038,727"
03/2024,CENTRO OESTE,Mato Grosso,OUTROS MATERIAIS GRAXOS,"21114,479"
03/2024,NORDESTE,Bahia,OUTROS MATERIAIS GRAXOS,"2683,923"
03/2024,NORTE,Pará,OUTROS MATERIAIS GRAXOS,"375,568"
03/2024,NORTE,Tocantins,OUTROS MATERIAIS GRAXOS,"86,391"
03/2024,SUDESTE,Minas Gerais,OUTROS MATERIAIS GRAXOS,"6477,634"
03/2024,SUDESTE,Rio de Janeiro,OUTROS MATERIAIS GRAXOS,"1613,572"
03/2024,SUDESTE,São Paulo,OUTROS MATERIAIS GRAXOS,"17556,762"
03/2024,SUL,Paraná,OUTROS MATERIAIS GRAXOS,"20464,896"
03/2024,SUL,Rio Grande do Sul,OUTROS MATERIAIS GRAXOS,"7781,091"
03/2024,SUL,Santa Catarina,OUTROS MATERIAIS GRAXOS,"18965,965"
02/2024,CENTRO OESTE,Goiás,ÁCIDO GRAXO DE ÓLEO DE SOJA,"507,252"
02/2024,CENTRO OESTE,Mato Grosso,ÁCIDO GRAXO DE ÓLEO DE SOJA,"889,395"
02/2024,SUDESTE,São Paulo,ÁCIDO GRAXO DE ÓLEO DE SOJA,"1540,848"
02/2024,CENTRO OESTE,Goiás,GORDURA BOVINA,"10749,145"
02/2024,CENTRO OESTE,Mato Grosso,GORDURA BOVINA,"253,076"
02/2024,CENTRO OESTE,Mato Grosso do Sul,GORDURA BOVINA,"487,893"
02/2024,NORDESTE,Bahia,GORDURA BOVINA,"4711,102"
02/2024,NORTE,Pará,GORDURA BOVINA,"4752,798"
02/2024,NORTE,Rondônia,GORDURA BOVINA,"7455,566"
02/2024,SUDESTE,Minas Gerais,GORDURA BOVINA,"765,256"
02/2024,SUL,Paraná,GORDURA BOVINA,"5681,030"
02/2024,SUL,Rio Grande do Sul,GORDURA BOVINA,"10435,949"
02/2024,SUL,Paraná,GORDURA DE FRANGO,"880,821"
02/2024,SUL,Rio Grande do Sul,GORDURA DE FRANGO,"141,954"
02/2024,CENTRO OESTE,Goiás,GORDURA DE PORCO,"1064,545"
02/2024,SUDESTE,Rio de Janeiro,GORDURA DE PORCO,"5799,286"
02/2024,SUL,Paraná,GORDURA DE PORCO,"299,408"
02/2024,SUL,Rio Grande do Sul,GORDURA DE PORCO,"2164,585"
02/2024,CENTRO OESTE,Goiás,ÓLEO DE ALGODÃO (GOSSYPIUM HIRSUT),"2830,232"
02/2024,CENTRO OESTE,Mato Grosso,ÓLEO DE ALGODÃO (GOSSYPIUM HIRSUT),"3222,288"
02/2024,NORDESTE,Bahia,ÓLEO DE ALGODÃO (GOSSYPIUM HIRSUT),"2220,583"
02/2024,SUL,Rio Grande do Sul,ÓLEO DE COLZA/CANOLA (BRESSICA CAMPESTRIS),"2391,481"
02/2024,CENTRO OESTE,Goiás,ÓLEO DE FRITURA USADO,"247,285"
02/2024,NORDESTE,Bahia,ÓLEO DE FRITURA USADO,"1597,616"
02/2024,NORTE,Pará,ÓLEO DE FRITURA USADO,"162,333"
02/2024,NORTE,Rondônia,ÓLEO DE FRITURA USADO,"13,867"
02/2024,SUDESTE,Rio de Janeiro,ÓLEO DE FRITURA USADO,"5682,001"
02/2024,SUL,Paraná,ÓLEO DE FRITURA USADO,"857,288"
02/2024,SUL,Rio Grande do Sul,ÓLEO DE FRITURA USADO,"502,534"
02/2024,CENTRO OESTE,Goiás,ÓLEO DE GIRASSOL (HELLANTHUS ANNUS),"105,086"
02/2024,CENTRO OESTE,Goiás,ÓLEO DE MILHO,"530,093"
02/2024,SUL,Paraná,ÓLEO DE MILHO,"162,650"
02/2024,SUL,Rio Grande do Sul,ÓLEO DE MILHO,"1376,264"
02/2024,NORDESTE,Bahia,ÓLEO DE PALMA/DENDÊ (ELAEIS GUINEENSIS OU ELAEIS O,"222,339"
02/2024,NORTE,Pará,ÓLEO DE PALMA/DENDÊ (ELAEIS GUINEENSIS OU ELAEIS O,"7562,307"
02/2024,NORTE,Rondônia,ÓLEO DE PALMA/DENDÊ (ELAEIS GUINEENSIS OU ELAEIS O,"222,000"
02/2024,CENTRO OESTE,Goiás,ÓLEO DE SOJA (GLYCINE MAX),"66774,854"
02/2024,CENTRO OESTE,Mato Grosso,ÓLEO DE SOJA (GLYCINE MAX),"114232,389"
02/2024,CENTRO OESTE,Mato Grosso do Sul,ÓLEO DE SOJA (GLYCINE MAX),"31167,305"
02/2024,NORDESTE,Bahia,ÓLEO DE SOJA (GLYCINE MAX),"31286,240"
02/2024,NORDESTE,Piauí,ÓLEO DE SOJA (GLYCINE MAX),"2151,191"
02/2024,NORTE,Pará,ÓLEO DE SOJA (GLYCINE MAX),"1211,225"
02/2024,NORTE,Rondônia,ÓLEO DE SOJA (GLYCINE MAX),"329,332"
02/2024,SUDESTE,São Paulo,ÓLEO DE SOJA (GLYCINE MAX),"6284,340"
02/2024,SUL,Paraná,ÓLEO DE SOJA (GLYCINE MAX),"69420,892"
02/2024,SUL,Rio Grande do Sul,ÓLEO DE SOJA (GLYCINE MAX),"119982,781"
02/2024,SUL,Santa Catarina,ÓLEO DE SOJA (GLYCINE MAX),"18773,386"
02/2024,CENTRO OESTE,Goiás,OUTROS MATERIAIS GRAXOS,"16079,748"
02/2024,CENTRO OESTE,Mato Grosso,OUTROS MATERIAIS GRAXOS,"21371,042"
02/2024,NORDESTE,Bahia,OUTROS MATERIAIS GRAXOS,"3193,748"
02/2024,NORTE,Pará,OUTROS MATERIAIS GRAXOS,"187,386"
02/2024,SUDESTE,Minas Gerais,OUTROS MATERIAIS GRAXOS,"4768,879"
02/2024,SUDESTE,Rio de Janeiro,OUTROS MATERIAIS GRAXOS,"755,954"
02/2024,SUDESTE,São Paulo,OUTROS MATERIAIS GRAXOS,"13584,743"
02/2024,SUL,Paraná,OUTROS MATERIAIS GRAXOS,"11764,494"
02/2024,SUL,Rio Grande do Sul,OUTROS MATERIAIS GRAXOS,"8477,291"
02/2024,SUL,Santa Catarina,OUTROS MATERIAIS GRAXOS,"13946,316"
01/2024,CENTRO OESTE,Goiás,ÁCIDO GRAXO DE ÓLEO DE SOJA,"681,236"
01/2024,CENTRO OESTE,Mato Grosso,ÁCIDO GRAXO DE ÓLEO DE SOJA,"1304,535"
01/2024,SUDESTE,São Paulo,ÁCIDO GRAXO DE ÓLEO DE SOJA,"568,182"
01/2024,CENTRO OESTE,Goiás,GORDURA BOVINA,"8636,081"
01/2024,CENTRO OESTE,Mato Grosso,GORDURA BOVINA,"459,145"
01/2024,NORDESTE,Bahia,GORDURA BOVINA,"7080,931"
01/2024,NORTE,Pará,GORDURA BOVINA,"722,142"
01/2024,NORTE,Rondônia,GORDURA BOVINA,"4673,961"
01/2024,SUDESTE,Minas Gerais,GORDURA BOVINA,"2354,689"
01/2024,SUL,Paraná,GORDURA BOVINA,"5235,484"
01/2024,SUL,Rio Grande do Sul,GORDURA BOVINA,"11803,826"
01/2024,SUL,Paraná,GORDURA DE FRANGO,"863,506"
01/2024,SUL,Rio Grande do Sul,GORDURA DE FRANGO,"294,479"
01/2024,CENTRO OESTE,Goiás,GORDURA DE PORCO,"620,150"
01/2024,SUDESTE,Rio de Janeiro,GORDURA DE PORCO,"3424,983"
01/2024,SUL,Paraná,GORDURA DE PORCO,"270,288"
01/2024,SUL,Rio Grande do Sul,GORDURA DE PORCO,"1216,421"
01/2024,CENTRO OESTE,Goiás,ÓLEO DE ALGODÃO (GOSSYPIUM HIRSUT),"3764,441"
01/2024,CENTRO OESTE,Mato Grosso,ÓLEO DE ALGODÃO (GOSSYPIUM HIRSUT),"3175,281"
01/2024,NORDESTE,Bahia,ÓLEO DE ALGODÃO (GOSSYPIUM HIRSUT),"2331,627"
01/2024,SUL,Rio Grande do Sul,ÓLEO DE COLZA/CANOLA (BRESSICA CAMPESTRIS),"2434,342"
01/2024,CENTRO OESTE,Goiás,ÓLEO DE FRITURA USADO,"407,838"
01/2024,NORDESTE,Bahia,ÓLEO DE FRITURA USADO,"1112,263"
01/2024,NORTE,Rondônia,ÓLEO DE FRITURA USADO,"41,278"
01/2024,SUDESTE,Rio de Janeiro,ÓLEO DE FRITURA USADO,"5833,007"
01/2024,SUL,Paraná,ÓLEO DE FRITURA USADO,"291,731"
01/2024,SUL,Rio Grande do Sul,ÓLEO DE FRITURA USADO,"1096,133"
01/2024,SUL,Santa Catarina,ÓLEO DE FRITURA USADO,"0,165"
01/2024,CENTRO OESTE,Goiás,ÓLEO DE GIRASSOL (HELLANTHUS ANNUS),"431,478"
01/2024,CENTRO OESTE,Goiás,ÓLEO DE MILHO,"748,499"
01/2024,SUL,Paraná,ÓLEO DE MILHO,"44,484"
01/2024,SUL,Rio Grande do Sul,ÓLEO DE MILHO,"41,057"
01/2024,NORDESTE,Bahia,ÓLEO DE PALMA/DENDÊ (ELAEIS GUINEENSIS OU ELAEIS O,"1525,319"
01/2024,NORTE,Pará,ÓLEO DE PALMA/DENDÊ (ELAEIS GUINEENSIS OU ELAEIS O,"12474,315"
01/2024,NORTE,Rondônia,ÓLEO DE PALMA/DENDÊ (ELAEIS GUINEENSIS OU ELAEIS O,"102,700"
01/2024,CENTRO OESTE,Goiás,ÓLEO DE SOJA (GLYCINE MAX),"59928,136"
01/2024,CENTRO OESTE,Mato Grosso,ÓLEO DE SOJA (GLYCINE MAX),"85918,002"
01/2024,CENTRO OESTE,Mato Grosso do Sul,ÓLEO DE SOJA (GLYCINE MAX),"27000,304"
01/2024,NORDESTE,Bahia,ÓLEO DE SOJA (GLYCINE MAX),"30433,758"
01/2024,NORDESTE,Piauí,ÓLEO DE SOJA (GLYCINE MAX),"5610,140"
01/2024,NORTE,Pará,ÓLEO DE SOJA (GLYCINE MAX),"1244,234"
01/2024,NORTE,Rondônia,ÓLEO DE SOJA (GLYCINE MAX),"392,427"
01/2024,SUDESTE,São Paulo,ÓLEO DE SOJA (GLYCINE MAX),"5263,287"
01/2024,SUL,Paraná,ÓLEO DE SOJA (GLYCINE MAX),"69419,471"
01/2024,SUL,Rio Grande do Sul,ÓLEO DE SOJA (GLYCINE MAX),"126259,515"
01/2024,SUL,Santa Catarina,ÓLEO DE SOJA (GLYCINE MAX),"13533,551"
01/2024,CENTRO OESTE,Goiás,OUTROS MATERIAIS GRAXOS,"20647,110"
01/2024,CENTRO OESTE,Mato Grosso,OUTROS MATERIAIS GRAXOS,"23686,244"
01/2024,NORDESTE,Bahia,OUTROS MATERIAIS GRAXOS,"2718,438"
01/2024,NORTE,Pará,OUTROS MATERIAIS GRAXOS,"135,609"
01/2024,NORTE,Rondônia,OUTROS MATERIAIS GRAXOS,"72,948"
01/2024,SUDESTE,Minas Gerais,OUTROS MATERIAIS GRAXOS,"4061,948"
01/2024,SUDESTE,Rio de Janeiro,OUTROS MATERIAIS GRAXOS,"1378,000"
01/2024,SUDESTE,São Paulo,OUTROS MATERIAIS GRAXOS,"17657,845"
01/2024,SUL,Paraná,OUTROS MATERIAIS GRAXOS,"13149,029"
01/2024,SUL,Rio Grande do Sul,OUTROS MATERIAIS GRAXOS,"7947,136"
01/2024,SUL,Santa Catarina,OUTROS MATERIAIS GRAXOS,"14701,922"
12/2023,CENTRO OESTE,Goiás,ÁCIDO GRAXO DE ÓLEO DE SOJA,"699,886"
12/2023,CENTRO OESTE,Mato Grosso,ÁCIDO GRAXO DE ÓLEO DE SOJA,"1006,065"
12/2023,SUDESTE,São Paulo,ÁCIDO GRAXO DE ÓLEO DE SOJA,"276,465"
12/2023,CENTRO OESTE,Goiás,GORDURA BOVINA,"6333,132"
12/2023,CENTRO OESTE,Mato Grosso do Sul,GORDURA BOVINA,"1205,150"
12/2023,NORDESTE,Bahia,GORDURA BOVINA,"7886,442"
12/2023,NORTE,Pará,GORDURA BOVINA,"463,262"
12/2023,NORTE,Rondônia,GORDURA BOVINA,"3613,038"
12/2023,SUDESTE,Minas Gerais,GORDURA BOVINA,"2127,649"
12/2023,SUL,Paraná,GORDURA BOVINA,"4521,580"
12/2023,SUL,Rio Grande do Sul,GORDURA BOVINA,"10607,149"
12/2023,SUL,Paraná,GORDURA DE FRANGO,"1759,674"
12/2023,SUL,Rio Grande do Sul,GORDURA DE FRANGO,"100,311"
12/2023,CENTRO OESTE,Goiás,GORDURA DE PORCO,"575,176"
12/2023,SUDESTE,Rio de Janeiro,GORDURA DE PORCO,"6332,863"
12/2023,SUL,Paraná,GORDURA DE PORCO,"258,867"
12/2023,SUL,Rio Grande do Sul,GORDURA DE PORCO,"1486,008"
12/2023,SUL,Santa Catarina,GORDURA DE PORCO,"42,325"
12/2023,CENTRO OESTE,Goiás,ÓLEO DE ALGODÃO (GOSSYPIUM HIRSUT),"7226,963"
12/2023,CENTRO OESTE,Mato Grosso,ÓLEO DE ALGODÃO (GOSSYPIUM HIRSUT),"4276,937"
12/2023,NORDESTE,Bahia,ÓLEO DE ALGODÃO (GOSSYPIUM HIRSUT),"6365,513"
12/2023,NORDESTE,Piauí,ÓLEO DE ALGODÃO (GOSSYPIUM HIRSUT),"0,001"
12/2023,SUL,Rio Grande do Sul,ÓLEO DE COLZA/CANOLA (BRESSICA CAMPESTRIS),"1487,961"
12/2023,CENTRO OESTE,Goiás,ÓLEO DE FRITURA USADO,"361,009"
12/2023,NORDESTE,Bahia,ÓLEO DE FRITURA USADO,"1301,475"
12/2023,SUDESTE,Rio de Janeiro,ÓLEO DE FRITURA USADO,"5407,859"
