Mês/Ano,Região,Produção de Biodiesel
01/2021,NORTE / CENTRO OESTE,"192779,443"
01/2021,SUDESTE,"34292,798"
01/2021,SUL,"244820,434"
12/2020,NORDESTE,"32587,633"
12/2020,NORTE / CENTRO OESTE,"202020,265"
12/2020,SUDESTE,"38390,694"
12/2020,SUL,"244237,114"
11/2020,NORDESTE,"38335,680"
11/2020,NORTE / CENTRO OESTE,"217170,414"
11/2020,SUDESTE,"41904,163"
11/2020,SUL,"258864,557"
10/2020,NORDESTE,"44982,152"
10/2020,NORTE / CENTRO OESTE,"246708,630"
10/2020,SUDESTE,"41916,713"
10/2020,SUL,"256928,380"
09/2020,NORDESTE,"45788,944"
09/2020,NORTE / CENTRO OESTE,"257497,555"
09/2020,SUDESTE,"45956,609"
09/2020,SUL,"242390,616"
08/2020,NORDESTE,"48945,850"
08/2020,NORTE / CENTRO OESTE,"260664,178"
08/2020,SUDESTE,"53365,029"
08/2020,SUL,"260962,768"
07/2020,NORDESTE,"46181,869"
07/2020,NORTE / CENTRO OESTE,"259731,272"
07/2020,SUDESTE,"51609,052"
07/2020,SUL,"245809,103"
06/2020,NORDESTE,"38381,351"
06/2020,NORTE / CENTRO OESTE,"232685,300"
06/2020,SUDESTE,"45728,194"
06/2020,SUL,"223334,993"
05/2020,NORDESTE,"31028,568"
05/2020,NORTE / CENTRO OESTE,"201206,487"
05/2020,SUDESTE,"29452,759"
05/2020,SUL,"219806,551"
04/2020,NORDESTE,"26967,881"
04/2020,NORTE / CENTRO OESTE,"196857,085"
04/2020,SUDESTE,"37684,590"
04/2020,SUL,"178017,274"
03/2020,NORDESTE,"39330,239"
03/2020,NORTE / CENTRO OESTE,"248366,879"
03/2020,SUDESTE,"46941,153"
03/2020,SUL,"215659,532"
02/2020,NORDESTE,"43167,842"
02/2020,NORTE / CENTRO OESTE,"199473,745"
02/2020,SUDESTE,"38961,006"
02/2020,SUL,"201583,594"
01/2020,NORDESTE,"42525,911"
01/2020,NORTE / CENTRO OESTE,"197002,085"
01/2020,SUDESTE,"34210,610"
01/2020,SUL,"193856,905"
12/2019,NORDESTE,"40708,967"
12/2019,NORTE / CENTRO OESTE,"229537,961"
12/2019,SUDESTE,"43176,967"
12/2019,SUL,"210047,846"
11/2019,NORDESTE,"40721,768"
11/2019,NORTE / CENTRO OESTE,"227574,761"
11/2019,SUDESTE,"49817,448"
11/2019,SUL,"221705,554"
10/2019,NORDESTE,"42216,705"
10/2019,NORTE / CENTRO OESTE,"253753,172"
10/2019,SUDESTE,"52424,913"
10/2019,SUL,"235329,945"
09/2019,NORDESTE,"41539,573"
09/2019,NORTE / CENTRO OESTE,"240896,121"
09/2019,SUDESTE,"47338,524"
09/2019,SUL,"228750,053"
08/2019,NORDESTE,"36508,967"
08/2019,NORTE / CENTRO OESTE,"223937,635"
08/2019,SUDESTE,"42687,378"
08/2019,SUL,"200011,568"
07/2019,NORDESTE,"35938,143"
07/2019,NORTE / CENTRO OESTE,"221053,937"
07/2019,SUDESTE,"34582,489"
07/2019,SUL,"203769,711"
06/2019,NORDESTE,"38328,357"
06/2019,NORTE / CENTRO OESTE,"198152,162"
06/2019,SUDESTE,"38695,658"
06/2019,SUL,"186437,233"
05/2019,NORDESTE,"38695,353"
05/2019,NORTE / CENTRO OESTE,"187255,326"
05/2019,SUDESTE,"34341,193"
05/2019,SUL,"188060,387"
04/2019,NORDESTE,"31054,612"
04/2019,NORTE / CENTRO OESTE,"204814,638"
04/2019,SUDESTE,"40320,569"
04/2019,SUL,"188711,738"
03/2019,NORDESTE,"31655,084"
03/2019,NORTE / CENTRO OESTE,"206630,068"
